time,throughput,speed,latitude,longtitu
2023-04-28 11:12:15 CDT,71.5,21.308466333740004,44.8597648,-93.2666524
2023-04-28 11:12:16 CDT,49.8,17.507235757598,44.8597906,-93.2664334
2023-04-28 11:12:17 CDT,43.4,17.507235757598,44.8597906,-93.2664334
2023-04-28 11:12:18 CDT,33.7,12.187553756100002,44.8597949,-93.2662702
2023-04-28 11:12:19 CDT,70.5,12.187553756100002,44.8597949,-93.2662702
2023-04-28 11:12:20 CDT,59.1,7.368204321604001,44.8597888,-93.2661652
2023-04-28 11:12:21 CDT,61.8,7.368204321604001,44.8597888,-93.2661652
2023-04-28 11:12:22 CDT,52.2,2.8274753829500003,44.8597905,-93.2661176
2023-04-28 11:12:23 CDT,73.4,2.8274753829500003,44.8597905,-93.2661176
2023-04-28 11:12:24 CDT,74.0,0.9863888487076,44.8597932,-93.2661174
2023-04-28 11:12:25 CDT,79.9,0.9863888487076,44.8597932,-93.2661174
2023-04-28 11:12:26 CDT,96.2,0.850289191291,44.8597962,-93.2661154
2023-04-28 11:12:27 CDT,186.0,0.850289191291,44.8597962,-93.2661154
2023-04-28 11:12:28 CDT,177.0,0.8276936142876001,44.8597992,-93.2661082
2023-04-28 11:12:29 CDT,129.0,0.8276936142876001,44.8597992,-93.2661082
2023-04-28 11:12:30 CDT,123.0,0.5375334160676001,44.859802,-93.2661013
2023-04-28 11:12:31 CDT,95.0,0.5375334160676001,44.859802,-93.2661013
2023-04-28 11:12:32 CDT,74.3,0.5328682553282,44.8598023,-93.2661009
2023-04-28 11:12:33 CDT,167.0,0.5328682553282,44.8598023,-93.2661009
2023-04-28 11:12:34 CDT,177.0,0.0208625860313,44.859802,-93.266102
2023-04-28 11:12:35 CDT,106.0,0.0208625860313,44.859802,-93.266102
2023-04-28 11:12:36 CDT,118.0,0.02164563358912,44.8598019,-93.2661024
2023-04-28 11:12:37 CDT,49.3,0.02164563358912,44.8598019,-93.2661024
2023-04-28 11:12:38 CDT,113.0,1.2300268688820002,44.8598055,-93.2660929
2023-04-28 11:12:39 CDT,56.0,1.2300268688820002,44.8598055,-93.2660929
2023-04-28 11:12:40 CDT,73.5,2.280953807746,44.859813,-93.2660759
2023-04-28 11:12:41 CDT,90.8,2.280953807746,44.859813,-93.2660759
2023-04-28 11:12:42 CDT,112.0,3.0860750420980003,44.8598285,-93.2660559
2023-04-28 11:12:43 CDT,100.0,3.0860750420980003,44.8598285,-93.2660559
2023-04-28 11:12:44 CDT,72.3,5.11381932132,44.8598607,-93.2660507
2023-04-28 11:12:45 CDT,49.8,5.11381932132,44.8598607,-93.2660507
2023-04-28 11:12:46 CDT,95.5,8.179377149738,44.859904,-93.2660968
2023-04-28 11:12:47 CDT,106.0,8.179377149738,44.859904,-93.2660968
2023-04-28 11:12:48 CDT,136.0,10.855586399702,44.8599347,-93.2662066
2023-04-28 11:12:49 CDT,82.3,10.855586399702,44.8599347,-93.2662066
2023-04-28 11:12:50 CDT,85.0,13.666214716430002,44.8599443,-93.2663542
2023-04-28 11:12:51 CDT,94.0,13.666214716430002,44.8599443,-93.2663542
2023-04-28 11:12:52 CDT,76.5,15.92091266462,44.8599428,-93.2665318
2023-04-28 11:12:53 CDT,74.4,15.92091266462,44.8599428,-93.2665318
2023-04-28 11:12:54 CDT,113.0,17.84532418487,44.859932,-93.2667216
2023-04-28 11:12:55 CDT,106.0,17.84532418487,44.859932,-93.2667216
2023-04-28 11:12:56 CDT,94.4,20.67363618338,44.8599127,-93.2669434
2023-04-28 11:12:57 CDT,148.0,20.67363618338,44.8599127,-93.2669434
2023-04-28 11:12:58 CDT,183.0,22.81956404254,44.8598908,-93.2671973
2023-04-28 11:12:59 CDT,152.0,22.81956404254,44.8598908,-93.2671973
2023-04-28 11:13:00 CDT,103.0,21.445174684900003,44.8598749,-93.2674612
2023-04-28 11:13:01 CDT,158.0,21.445174684900003,44.8598749,-93.2674612
2023-04-28 11:13:02 CDT,175.0,15.950191077504,44.8598662,-93.2676925
2023-04-28 11:13:03 CDT,140.0,15.950191077504,44.8598662,-93.2676925
2023-04-28 11:13:04 CDT,168.0,13.917204082004002,44.8598768,-93.2678576
2023-04-28 11:13:05 CDT,125.0,13.917204082004002,44.8598768,-93.2678576
