Bitrate,Time
21.1,2023-04-27 13:43:47 CDT
38.1,2023-04-27 13:43:48 CDT
35.7,2023-04-27 13:43:49 CDT
39.6,2023-04-27 13:43:50 CDT
37.2,2023-04-27 13:43:51 CDT
5.99,2023-04-27 13:43:52 CDT
27.5,2023-04-27 13:43:53 CDT
25.9,2023-04-27 13:43:54 CDT
36.1,2023-04-27 13:43:55 CDT
6.88,2023-04-27 13:43:56 CDT
11.9,2023-04-27 13:43:57 CDT
8.8,2023-04-27 13:43:58 CDT
7.77,2023-04-27 13:43:59 CDT
10.9,2023-04-27 13:44:00 CDT
6.99,2023-04-27 13:44:01 CDT
4.07,2023-04-27 13:44:02 CDT
5.41,2023-04-27 13:44:03 CDT
2.04,2023-04-27 13:44:04 CDT
4.68,2023-04-27 13:44:05 CDT
10.8,2023-04-27 13:44:06 CDT
8.28,2023-04-27 13:44:07 CDT
9.88,2023-04-27 13:44:08 CDT
14.5,2023-04-27 13:44:09 CDT
5.32,2023-04-27 13:44:10 CDT
2.9,2023-04-27 13:44:11 CDT
6.3,2023-04-27 13:44:12 CDT
8.89,2023-04-27 13:44:13 CDT
6.63,2023-04-27 13:44:14 CDT
7.54,2023-04-27 13:44:15 CDT
13.6,2023-04-27 13:44:16 CDT
6.25,2023-04-27 13:44:17 CDT
9.46,2023-04-27 13:44:18 CDT
7.34,2023-04-27 13:44:19 CDT
11.7,2023-04-27 13:44:20 CDT
12.4,2023-04-27 13:44:21 CDT
9.5,2023-04-27 13:44:22 CDT
10.6,2023-04-27 13:44:23 CDT
8.38,2023-04-27 13:44:24 CDT
8.79,2023-04-27 13:44:25 CDT
7.83,2023-04-27 13:44:26 CDT
8.35,2023-04-27 13:44:27 CDT
12.3,2023-04-27 13:44:28 CDT
18.5,2023-04-27 13:44:29 CDT
22.3,2023-04-27 13:44:30 CDT
33.2,2023-04-27 13:44:31 CDT
15.1,2023-04-27 13:44:32 CDT
24.1,2023-04-27 13:44:33 CDT
31.1,2023-04-27 13:44:34 CDT
25.6,2023-04-27 13:44:35 CDT
16.0,2023-04-27 13:44:36 CDT
0.0927,2023-04-27 13:44:37 CDT
9.89,2023-04-27 13:44:38 CDT
8.58,2023-04-27 13:44:39 CDT
0.278,2023-04-27 13:44:40 CDT
2.13,2023-04-27 13:44:41 CDT
6.67,2023-04-27 13:44:42 CDT
17.3,2023-04-27 13:44:43 CDT
32.4,2023-04-27 13:44:44 CDT
49.1,2023-04-27 13:44:45 CDT
60.5,2023-04-27 13:44:46 CDT
16.6,2023-04-27 13:44:47 CDT
23.3,2023-04-27 13:44:48 CDT
37.7,2023-04-27 13:44:49 CDT
42.3,2023-04-27 13:44:50 CDT
44.9,2023-04-27 13:44:51 CDT
24.3,2023-04-27 13:44:52 CDT
25.9,2023-04-27 13:44:53 CDT
47.8,2023-04-27 13:44:54 CDT
45.6,2023-04-27 13:44:55 CDT
8.3,2023-04-27 13:44:56 CDT
17.7,2023-04-27 13:44:57 CDT
16.6,2023-04-27 13:44:58 CDT
30.1,2023-04-27 13:44:59 CDT
42.9,2023-04-27 13:45:00 CDT
56.7,2023-04-27 13:45:01 CDT
23.4,2023-04-27 13:45:02 CDT
30.1,2023-04-27 13:45:03 CDT
49.5,2023-04-27 13:45:04 CDT
48.8,2023-04-27 13:45:05 CDT
52.4,2023-04-27 13:45:06 CDT
27.7,2023-04-27 13:45:07 CDT
19.0,2023-04-27 13:45:08 CDT
44.5,2023-04-27 13:45:09 CDT
51.3,2023-04-27 13:45:10 CDT
26.0,2023-04-27 13:45:11 CDT
16.2,2023-04-27 13:45:12 CDT
24.1,2023-04-27 13:45:13 CDT
27.8,2023-04-27 13:45:14 CDT
16.6,2023-04-27 13:45:15 CDT
21.4,2023-04-27 13:45:16 CDT
10.4,2023-04-27 13:45:17 CDT
10.4,2023-04-27 13:45:18 CDT
11.0,2023-04-27 13:45:19 CDT
15.3,2023-04-27 13:45:20 CDT
16.2,2023-04-27 13:45:21 CDT
6.08,2023-04-27 13:45:22 CDT
0.104,2023-04-27 13:45:23 CDT
0.591,2023-04-27 13:45:24 CDT
0.0115,2023-04-27 13:45:25 CDT
0.0349,2023-04-27 13:45:26 CDT
2.87,2023-04-27 13:45:27 CDT
6.81,2023-04-27 13:45:28 CDT
5.62,2023-04-27 13:45:29 CDT
6.65,2023-04-27 13:45:30 CDT
9.86,2023-04-27 13:45:31 CDT
10.9,2023-04-27 13:45:32 CDT
21.2,2023-04-27 13:45:33 CDT
20.9,2023-04-27 13:45:34 CDT
21.7,2023-04-27 13:45:35 CDT
26.2,2023-04-27 13:45:36 CDT
37.6,2023-04-27 13:45:37 CDT
67.5,2023-04-27 13:45:38 CDT
47.1,2023-04-27 13:45:39 CDT
56.0,2023-04-27 13:45:40 CDT
47.9,2023-04-27 13:45:41 CDT
41.3,2023-04-27 13:45:42 CDT
57.6,2023-04-27 13:45:43 CDT
60.2,2023-04-27 13:45:44 CDT
69.9,2023-04-27 13:45:45 CDT
78.6,2023-04-27 13:45:46 CDT
54.7,2023-04-27 13:45:47 CDT
41.6,2023-04-27 13:45:48 CDT
36.8,2023-04-27 13:45:49 CDT
45.9,2023-04-27 13:45:50 CDT
54.5,2023-04-27 13:45:51 CDT
41.2,2023-04-27 13:45:52 CDT
21.5,2023-04-27 13:45:53 CDT
43.6,2023-04-27 13:45:54 CDT
43.3,2023-04-27 13:45:55 CDT
30.4,2023-04-27 13:45:56 CDT
28.2,2023-04-27 13:45:57 CDT
24.7,2023-04-27 13:45:58 CDT
18.1,2023-04-27 13:45:59 CDT
17.5,2023-04-27 13:46:00 CDT
18.9,2023-04-27 13:46:01 CDT
20.5,2023-04-27 13:46:02 CDT
15.5,2023-04-27 13:46:03 CDT
18.7,2023-04-27 13:46:04 CDT
20.6,2023-04-27 13:46:05 CDT
19.4,2023-04-27 13:46:06 CDT
16.1,2023-04-27 13:46:07 CDT
21.8,2023-04-27 13:46:08 CDT
20.6,2023-04-27 13:46:09 CDT
24.0,2023-04-27 13:46:10 CDT
24.8,2023-04-27 13:46:11 CDT
22.4,2023-04-27 13:46:12 CDT
30.1,2023-04-27 13:46:13 CDT
25.2,2023-04-27 13:46:14 CDT
31.7,2023-04-27 13:46:15 CDT
32.3,2023-04-27 13:46:16 CDT
41.4,2023-04-27 13:46:17 CDT
33.5,2023-04-27 13:46:18 CDT
21.7,2023-04-27 13:46:19 CDT
25.1,2023-04-27 13:46:20 CDT
32.2,2023-04-27 13:46:21 CDT
37.0,2023-04-27 13:46:22 CDT
32.7,2023-04-27 13:46:23 CDT
42.6,2023-04-27 13:46:24 CDT
34.1,2023-04-27 13:46:25 CDT
39.6,2023-04-27 13:46:26 CDT
38.6,2023-04-27 13:46:27 CDT
24.6,2023-04-27 13:46:28 CDT
17.5,2023-04-27 13:46:29 CDT
8.42,2023-04-27 13:46:30 CDT
13.2,2023-04-27 13:46:31 CDT
12.5,2023-04-27 13:46:32 CDT
14.1,2023-04-27 13:46:33 CDT
11.8,2023-04-27 13:46:34 CDT
7.91,2023-04-27 13:46:35 CDT
15.6,2023-04-27 13:46:36 CDT
16.0,2023-04-27 13:46:37 CDT
11.6,2023-04-27 13:46:38 CDT
11.5,2023-04-27 13:46:39 CDT
6.97,2023-04-27 13:46:40 CDT
3.7,2023-04-27 13:46:41 CDT
6.53,2023-04-27 13:46:42 CDT
7.85,2023-04-27 13:46:43 CDT
6.63,2023-04-27 13:46:44 CDT
6.74,2023-04-27 13:46:45 CDT
6.8,2023-04-27 13:46:46 CDT
6.58,2023-04-27 13:46:47 CDT
9.16,2023-04-27 13:46:48 CDT
10.1,2023-04-27 13:46:49 CDT
13.7,2023-04-27 13:46:50 CDT
15.1,2023-04-27 13:46:51 CDT
16.4,2023-04-27 13:46:52 CDT
27.4,2023-04-27 13:46:53 CDT
25.7,2023-04-27 13:46:54 CDT
35.9,2023-04-27 13:46:55 CDT
31.5,2023-04-27 13:46:56 CDT
39.4,2023-04-27 13:46:57 CDT
10.4,2023-04-27 13:46:58 CDT
31.7,2023-04-27 13:46:59 CDT
40.7,2023-04-27 13:47:00 CDT
54.9,2023-04-27 13:47:01 CDT
44.9,2023-04-27 13:47:02 CDT
13.9,2023-04-27 13:47:03 CDT
32.8,2023-04-27 13:47:04 CDT
39.2,2023-04-27 13:47:05 CDT
46.2,2023-04-27 13:47:06 CDT
49.7,2023-04-27 13:47:07 CDT
14.3,2023-04-27 13:47:08 CDT
39.8,2023-04-27 13:47:09 CDT
47.9,2023-04-27 13:47:10 CDT
27.4,2023-04-27 13:47:11 CDT
38.5,2023-04-27 13:47:12 CDT
10.1,2023-04-27 13:47:13 CDT
33.2,2023-04-27 13:47:14 CDT
27.3,2023-04-27 13:47:15 CDT
26.7,2023-04-27 13:47:16 CDT
19.9,2023-04-27 13:47:17 CDT
8.64,2023-04-27 13:47:18 CDT
16.7,2023-04-27 13:47:19 CDT
19.6,2023-04-27 13:47:20 CDT
24.3,2023-04-27 13:47:21 CDT
24.5,2023-04-27 13:47:22 CDT
11.6,2023-04-27 13:47:23 CDT
23.6,2023-04-27 13:47:24 CDT
25.5,2023-04-27 13:47:25 CDT
19.5,2023-04-27 13:47:26 CDT
28.2,2023-04-27 13:47:27 CDT
12.3,2023-04-27 13:47:28 CDT
23.1,2023-04-27 13:47:29 CDT
35.8,2023-04-27 13:47:30 CDT
33.5,2023-04-27 13:47:31 CDT
34.4,2023-04-27 13:47:32 CDT
