Bitrate,Time
1.77,2023-04-27 13:43:44 CDT
4.03,2023-04-27 13:43:45 CDT
15.1,2023-04-27 13:43:46 CDT
16.0,2023-04-27 13:43:47 CDT
14.2,2023-04-27 13:43:48 CDT
16.7,2023-04-27 13:43:49 CDT
15.1,2023-04-27 13:43:50 CDT
27.5,2023-04-27 13:43:51 CDT
34.7,2023-04-27 13:43:52 CDT
19.7,2023-04-27 13:43:53 CDT
13.2,2023-04-27 13:43:54 CDT
8.57,2023-04-27 13:43:55 CDT
8.39,2023-04-27 13:43:56 CDT
7.33,2023-04-27 13:43:57 CDT
6.78,2023-04-27 13:43:58 CDT
9.52,2023-04-27 13:43:59 CDT
1.49,2023-04-27 13:44:00 CDT
12.9,2023-04-27 13:44:01 CDT
10.6,2023-04-27 13:44:02 CDT
10.8,2023-04-27 13:44:03 CDT
11.3,2023-04-27 13:44:04 CDT
10.9,2023-04-27 13:44:05 CDT
6.89,2023-04-27 13:44:06 CDT
7.68,2023-04-27 13:44:07 CDT
17.2,2023-04-27 13:44:08 CDT
41.1,2023-04-27 13:44:09 CDT
33.1,2023-04-27 13:44:10 CDT
11.9,2023-04-27 13:44:11 CDT
21.0,2023-04-27 13:44:12 CDT
15.5,2023-04-27 13:44:13 CDT
13.4,2023-04-27 13:44:14 CDT
12.4,2023-04-27 13:44:15 CDT
25.7,2023-04-27 13:44:16 CDT
28.4,2023-04-27 13:44:17 CDT
36.2,2023-04-27 13:44:18 CDT
25.5,2023-04-27 13:44:19 CDT
27.6,2023-04-27 13:44:20 CDT
40.7,2023-04-27 13:44:21 CDT
29.8,2023-04-27 13:44:22 CDT
36.5,2023-04-27 13:44:23 CDT
33.2,2023-04-27 13:44:24 CDT
27.3,2023-04-27 13:44:25 CDT
30.5,2023-04-27 13:44:26 CDT
30.6,2023-04-27 13:44:27 CDT
34.5,2023-04-27 13:44:28 CDT
48.2,2023-04-27 13:44:29 CDT
27.9,2023-04-27 13:44:30 CDT
23.9,2023-04-27 13:44:31 CDT
26.5,2023-04-27 13:44:32 CDT
13.6,2023-04-27 13:44:33 CDT
21.3,2023-04-27 13:44:34 CDT
32.7,2023-04-27 13:44:35 CDT
14.5,2023-04-27 13:44:36 CDT
24.6,2023-04-27 13:44:37 CDT
25.6,2023-04-27 13:44:38 CDT
20.9,2023-04-27 13:44:39 CDT
28.6,2023-04-27 13:44:40 CDT
34.8,2023-04-27 13:44:41 CDT
21.0,2023-04-27 13:44:42 CDT
49.7,2023-04-27 13:44:43 CDT
29.4,2023-04-27 13:44:44 CDT
28.5,2023-04-27 13:44:45 CDT
9.16,2023-04-27 13:44:46 CDT
2.11,2023-04-27 13:44:47 CDT
6.11,2023-04-27 13:44:48 CDT
12.1,2023-04-27 13:44:49 CDT
2.34,2023-04-27 13:44:50 CDT
19.5,2023-04-27 13:44:51 CDT
0.022,2023-04-27 13:44:52 CDT
141.0,2023-04-27 13:44:53 CDT
40.6,2023-04-27 13:44:54 CDT
34.5,2023-04-27 13:44:55 CDT
24.8,2023-04-27 13:44:56 CDT
15.5,2023-04-27 13:44:57 CDT
38.9,2023-04-27 13:44:58 CDT
31.9,2023-04-27 13:44:59 CDT
21.7,2023-04-27 13:45:00 CDT
29.9,2023-04-27 13:45:01 CDT
21.2,2023-04-27 13:45:02 CDT
23.9,2023-04-27 13:45:03 CDT
34.5,2023-04-27 13:45:04 CDT
30.0,2023-04-27 13:45:05 CDT
35.9,2023-04-27 13:45:06 CDT
27.7,2023-04-27 13:45:07 CDT
29.8,2023-04-27 13:45:08 CDT
32.9,2023-04-27 13:45:09 CDT
